GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
BookingSystem,servicelayer.customer,CustomerServiceException,4,0,0,0,2,0,1,0,1,0
BookingSystem,servicelayer.customer,CustomerServiceImpl,9,20,0,0,3,5,1,3,1,3
BookingSystem,servicelayer.employee,EmployeeServiceException,4,0,0,0,2,0,1,0,1,0
BookingSystem,servicelayer.employee,EmployeeServiceImpl,19,17,0,0,4,2,1,2,1,2
BookingSystem,datalayer.customer,CustomerStorageImpl,49,109,6,4,13,28,6,4,1,4
BookingSystem,servicelayer.booking,BookingServiceImpl,17,28,0,0,4,6,2,2,2,2
BookingSystem,servicelayer.booking,BookingServiceException,4,0,0,0,2,0,1,0,1,0
BookingSystem,datalayer.booking,BookingStorageImpl,205,0,4,0,53,0,7,0,5,0
BookingSystem,datalayer.Employee,EmployeeStorageImpl,153,0,4,0,42,0,7,0,5,0
BookingSystem,main,SqlConverter,9,0,0,0,2,0,2,0,2,0
BookingSystem,main,Main,39,0,0,0,7,0,4,0,4,0
BookingSystem,dto,Customer,3,18,0,0,1,7,1,3,1,3
BookingSystem,dto,Employee,11,18,0,0,2,7,2,3,2,3
BookingSystem,dto,EmployeeCreation,0,15,0,0,0,6,0,3,0,3
BookingSystem,dto,CustomerCreation,0,15,0,0,0,6,0,3,0,3
BookingSystem,dto,BookingCreation,9,24,0,0,3,9,3,3,3,3
BookingSystem,dto,SmsMessage,62,0,10,0,12,0,10,0,5,0
BookingSystem,dto,Booking,53,0,0,0,15,0,8,0,8,0
